REGIONAL,DISTRITO,POLITÉCNICO,SIGERD,FAMILIA PROFESIONAL,DENOMINACIÓN,MATRICULA
05 - SAN PEDRO DE MACORIS,0511 - VILLA HERMOSA,13893 - POLITECNICO LUIS HERIBERTO PAYAN,13893,ADMINISTRACIÓN Y COMERCIO,Comercio y Mercadeo,158
05 - SAN PEDRO DE MACORIS,0511 - VILLA HERMOSA,13893 - POLITECNICO LUIS HERIBERTO PAYAN,13893,SALUD,Cuidados de Enfermería y Promoción de la Salud,88
05 - SAN PEDRO DE MACORIS,0511 - VILLA HERMOSA,13893 - POLITECNICO LUIS HERIBERTO PAYAN,13893,ADMINISTRACIÓN Y COMERCIO,Gestión Administrativa y Tributaria,166
05 - SAN PEDRO DE MACORIS,0511 - VILLA HERMOSA,13893 - POLITECNICO LUIS HERIBERTO PAYAN,13893,ADMINISTRACIÓN Y COMERCIO,Logística y Transporte,152
05 - SAN PEDRO DE MACORIS,0511 - VILLA HERMOSA,13893 - POLITECNICO LUIS HERIBERTO PAYAN,13893,INFORMÁTICA Y COMUNICACIONES,Soporte de Redes y Sistemas Informáticos,77
05 - SAN PEDRO DE MACORIS,0511 - VILLA HERMOSA,14685 - POLITECNICO PROF. MERCEDES MARIA LAZALA MEJIA,14685,SALUD,Atención a Emergencias de la Salud,82
05 - SAN PEDRO DE MACORIS,0511 - VILLA HERMOSA,14685 - POLITECNICO PROF. MERCEDES MARIA LAZALA MEJIA,14685,INFORMÁTICA Y COMUNICACIONES,Desarrollo y administración de aplicaciones informáticas,60
05 - SAN PEDRO DE MACORIS,0511 - VILLA HERMOSA,14685 - POLITECNICO PROF. MERCEDES MARIA LAZALA MEJIA,14685,ADMINISTRACIÓN Y COMERCIO,Gestión Administrativa y Tributaria,108
06 - LA VEGA,0601 - JOSE CONTRERAS,06825 - POLITECNICO JUAN MIGUEL VICENTE MARTIN,06825,SEGURIDAD Y MEDIOAMBIENTE,Conservación y Protección Ambiental,55
06 - LA VEGA,0601 - JOSE CONTRERAS,06825 - POLITECNICO JUAN MIGUEL VICENTE MARTIN,06825,INFORMÁTICA Y COMUNICACIONES,Desarrollo y administración de aplicaciones informáticas,29
06 - LA VEGA,0602 - CONSTANZA,07172 - ALEGRIA,07172,INFORMÁTICA Y COMUNICACIONES,Desarrollo y administración de aplicaciones informáticas,59
06 - LA VEGA,0602 - CONSTANZA,07172 - ALEGRIA,07172,ADMINISTRACIÓN Y COMERCIO,Gestión Administrativa y Tributaria,77
06 - LA VEGA,0602 - CONSTANZA,07221 - POLITECNICO NUESTRA SEÑORA DEL VALLE,07221,INFORMÁTICA Y COMUNICACIONES,Desarrollo y administración de aplicaciones informáticas,103
06 - LA VEGA,0602 - CONSTANZA,07226 - POLITECNICO GASTON FERNANDO DELIGNE,07226,ADMINISTRACIÓN Y COMERCIO,Comercio y Mercadeo,71
06 - LA VEGA,0602 - CONSTANZA,07226 - POLITECNICO GASTON FERNANDO DELIGNE,07226,INFORMÁTICA Y COMUNICACIONES,Desarrollo y administración de aplicaciones informáticas,62
06 - LA VEGA,0602 - CONSTANZA,07226 - POLITECNICO GASTON FERNANDO DELIGNE,07226,ADMINISTRACIÓN Y COMERCIO,Gestión Administrativa y Tributaria,123
06 - LA VEGA,0602 - CONSTANZA,07226 - POLITECNICO GASTON FERNANDO DELIGNE,07226,TURISMO Y HOSTELERÍA,Servicios Gastronómicos,64
06 - LA VEGA,0602 - CONSTANZA,07226 - POLITECNICO GASTON FERNANDO DELIGNE,07226,TURISMO Y HOSTELERÍA,Servicios Turísticos,72
06 - LA VEGA,0602 - CONSTANZA,07227 - POLITECNICO FELIPE SORIANO BELLO,07227,AGRARIA,Agropecuaria,135
06 - LA VEGA,0602 - CONSTANZA,07227 - POLITECNICO FELIPE SORIANO BELLO,07227,INFORMÁTICA Y COMUNICACIONES,Desarrollo y administración de aplicaciones informáticas,233
06 - LA VEGA,0602 - CONSTANZA,07227 - POLITECNICO FELIPE SORIANO BELLO,07227,ADMINISTRACIÓN Y COMERCIO,Gestión Administrativa y Tributaria,197
06 - LA VEGA,0603 - JARABACOA,07239 - POLITECNICO LUIS ERNESTO GOMEZ URIBE,07239,INFORMÁTICA Y COMUNICACIONES,Desarrollo y administración de aplicaciones informáticas,164
06 - LA VEGA,0603 - JARABACOA,07239 - POLITECNICO LUIS ERNESTO GOMEZ URIBE,07239,ADMINISTRACIÓN Y COMERCIO,Gestión Administrativa y Tributaria,108
06 - LA VEGA,0603 - JARABACOA,07239 - POLITECNICO LUIS ERNESTO GOMEZ URIBE,07239,TURISMO Y HOSTELERÍA,Servicios Gastronómicos,60
06 - LA VEGA,0603 - JARABACOA,07239 - POLITECNICO LUIS ERNESTO GOMEZ URIBE,07239,TURISMO Y HOSTELERÍA,Servicios Turísticos,60
06 - LA VEGA,0603 - JARABACOA,07246 - POLITECNICO SALESIANO SANTO DOMINGO SAVIO,07246,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Acondicionamiento Físico y Entrenamiento Deportivo,79
06 - LA VEGA,0603 - JARABACOA,07246 - POLITECNICO SALESIANO SANTO DOMINGO SAVIO,07246,INFORMÁTICA Y COMUNICACIONES,Desarrollo y administración de aplicaciones informáticas,67
06 - LA VEGA,0603 - JARABACOA,07246 - POLITECNICO SALESIANO SANTO DOMINGO SAVIO,07246,INFORMÁTICA Y COMUNICACIONES,Soporte de Redes y Sistemas Informáticos,64
06 - LA VEGA,0603 - JARABACOA,07294 - EXPERIMENTAL FERNANDO ARTURO DE MERIÑO,07294,INFORMÁTICA Y COMUNICACIONES,Desarrollo y administración de aplicaciones informáticas,72
06 - LA VEGA,0603 - JARABACOA,07294 - EXPERIMENTAL FERNANDO ARTURO DE MERIÑO,07294,ADMINISTRACIÓN Y COMERCIO,Gestión Administrativa y Tributaria,78
06 - LA VEGA,0603 - JARABACOA,14285 - POLITECNICO MARIA AUXILIADORA,14285,SEGURIDAD Y MEDIOAMBIENTE,Conservación y Protección Ambiental,157
06 - LA VEGA,0603 - JARABACOA,14285 - POLITECNICO MARIA AUXILIADORA,14285,AUDIOVISUALES Y GRÁFICAS,Multimedia y Gráfica,211
06 - LA VEGA,0603 - JARABACOA,15661 - POLITECNICO NUESTRA SEÑORA DE LA ALTAGRACIA (FMA SALESIANAS),15661,ADMINISTRACIÓN Y COMERCIO,Comercio y Mercadeo,92
06 - LA VEGA,0603 - JARABACOA,15661 - POLITECNICO NUESTRA SEÑORA DE LA ALTAGRACIA (FMA SALESIANAS),15661,INFORMÁTICA Y COMUNICACIONES,Desarrollo y administración de aplicaciones informáticas,72
06 - LA VEGA,0604 - LA VEGA OESTE,01966 - POLITECNICO FORMACION Y DESARROLLO INTEGRAL PADRE FANTINO,01966,ADMINISTRACIÓN Y COMERCIO,Comercio y Mercadeo,152
06 - LA VEGA,0604 - LA VEGA OESTE,01966 - POLITECNICO FORMACION Y DESARROLLO INTEGRAL PADRE FANTINO,01966,SALUD,Cuidados de Enfermería y Promoción de la Salud,71
06 - LA VEGA,0604 - LA VEGA OESTE,01966 - POLITECNICO FORMACION Y DESARROLLO INTEGRAL PADRE FANTINO,01966,INFORMÁTICA Y COMUNICACIONES,Desarrollo y administración de aplicaciones informáticas,160
06 - LA VEGA,0604 - LA VEGA OESTE,01966 - POLITECNICO FORMACION Y DESARROLLO INTEGRAL PADRE FANTINO,01966,ADMINISTRACIÓN Y COMERCIO,Gestión Administrativa y Tributaria,129
06 - LA VEGA,0604 - LA VEGA OESTE,01966 - POLITECNICO FORMACION Y DESARROLLO INTEGRAL PADRE FANTINO,01966,AUDIOVISUALES Y GRÁFICAS,Multimedia y Gráfica,31
06 - LA VEGA,0604 - LA VEGA OESTE,07173 - POLITECNICO MERCEDES MOREL,07173,ADMINISTRACIÓN Y COMERCIO,Comercio y Mercadeo,60
06 - LA VEGA,0604 - LA VEGA OESTE,07173 - POLITECNICO MERCEDES MOREL,07173,SALUD,Cuidados de Enfermería y Promoción de la Salud,61
06 - LA VEGA,0604 - LA VEGA OESTE,07173 - POLITECNICO MERCEDES MOREL,07173,INFORMÁTICA Y COMUNICACIONES,Desarrollo y administración de aplicaciones informáticas,62
06 - LA VEGA,0604 - LA VEGA OESTE,07173 - POLITECNICO MERCEDES MOREL,07173,ADMINISTRACIÓN Y COMERCIO,Gestión Administrativa y Tributaria,55
06 - LA VEGA,0604 - LA VEGA OESTE,07173 - POLITECNICO MERCEDES MOREL,07173,ELECTRICIDAD Y ELECTRÓNICA,Instalaciones Eléctricas,48
06 - LA VEGA,0604 - LA VEGA OESTE,11105 - POLITECNICO SAN IGNACIO DE LOYOLA FE Y ALEGRIA,11105,INFORMÁTICA Y COMUNICACIONES,Desarrollo y administración de aplicaciones informáticas,58
06 - LA VEGA,0604 - LA VEGA OESTE,11105 - POLITECNICO SAN IGNACIO DE LOYOLA FE Y ALEGRIA,11105,ADMINISTRACIÓN Y COMERCIO,Gestión Administrativa y Tributaria,52
06 - LA VEGA,0604 - LA VEGA OESTE,11105 - POLITECNICO SAN IGNACIO DE LOYOLA FE Y ALEGRIA,11105,ELECTRICIDAD Y ELECTRÓNICA,Instalaciones Eléctricas,45
06 - LA VEGA,0604 - LA VEGA OESTE,11105 - POLITECNICO SAN IGNACIO DE LOYOLA FE Y ALEGRIA,11105,ELECTRICIDAD Y ELECTRÓNICA,Refrigeración y Acondicionamiento de Aire,23
06 - LA VEGA,0604 - LA VEGA OESTE,14286 - POLITECNICO MIGUEL ANGEL IBAÑEZ,14286,INFORMÁTICA Y COMUNICACIONES,Desarrollo y administración de aplicaciones informáticas,49
06 - LA VEGA,0604 - LA VEGA OESTE,14286 - POLITECNICO MIGUEL ANGEL IBAÑEZ,14286,ADMINISTRACIÓN Y COMERCIO,Gestión Administrativa y Tributaria,80
06 - LA VEGA,0605 - LA VEGA ESTE,07169 - INSTITUTO AGRONOMICO Y TECNICO SALESIANO (IATESA),07169,AGRARIA,Agropecuaria,101
06 - LA VEGA,0605 - LA VEGA ESTE,07169 - INSTITUTO AGRONOMICO Y TECNICO SALESIANO (IATESA),07169,INFORMÁTICA Y COMUNICACIONES,Desarrollo y administración de aplicaciones informáticas,44
06 - LA VEGA,0605 - LA VEGA ESTE,07169 - INSTITUTO AGRONOMICO Y TECNICO SALESIANO (IATESA),07169,ELECTRICIDAD Y ELECTRÓNICA,Equipos Electrónicos,39
06 - LA VEGA,0605 - LA VEGA ESTE,07169 - INSTITUTO AGRONOMICO Y TECNICO SALESIANO (IATESA),07169,ADMINISTRACIÓN Y COMERCIO,Gestión Administrativa y Tributaria,78
06 - LA VEGA,0605 - LA VEGA ESTE,07169 - INSTITUTO AGRONOMICO Y TECNICO SALESIANO (IATESA),07169,ELECTRICIDAD Y ELECTRÓNICA,Instalaciones Eléctricas,42
"06 - LA VEGA,0605 - LA VEGA ESTE,07169 - INSTITUTO AGRONOMICO Y TECNICO SALESIANO (IATESA),07169,""FABRICACIÓN, INSTALACIÓN Y MANTENIMIENTO"",Mecanizado,54"
06 - LA VEGA,0605 - LA VEGA ESTE,07175 - POLITECNICO DON PEPE ALVAREZ,07175,SEGURIDAD Y MEDIOAMBIENTE,Control de Procesos Ambientales,16
06 - LA VEGA,0605 - LA VEGA ESTE,07175 - POLITECNICO DON PEPE ALVAREZ,07175,SALUD,Cuidados de Enfermería y Promoción de la Salud,56
06 - LA VEGA,0605 - LA VEGA ESTE,07175 - POLITECNICO DON PEPE ALVAREZ,07175,ADMINISTRACIÓN Y COMERCIO,Gestión Administrativa y Tributaria,14
06 - LA VEGA,0605 - LA VEGA ESTE,07175 - POLITECNICO DON PEPE ALVAREZ,07175,INFORMÁTICA Y COMUNICACIONES,Soporte de Redes y Sistemas Informáticos,86
06 - LA VEGA,0605 - LA VEGA ESTE,07179 - CARDENAL SANCHA,07179,ADMINISTRACIÓN Y COMERCIO,Gestión Administrativa y Tributaria,113
06 - LA VEGA,0605 - LA VEGA ESTE,07180 - COLEGIO EUGENIO MARIA DE HOSTOS,07180,ADMINISTRACIÓN Y COMERCIO,Comercio y Mercadeo,94
06 - LA VEGA,0605 - LA VEGA ESTE,07180 - COLEGIO EUGENIO MARIA DE HOSTOS,07180,INFORMÁTICA Y COMUNICACIONES,Desarrollo y administración de aplicaciones informáticas,73
06 - LA VEGA,0605 - LA VEGA ESTE,07191 - POLITECNICO SAN LUIS GONZAGA,07191,ADMINISTRACIÓN Y COMERCIO,Gestión Administrativa y Tributaria,63
06 - LA VEGA,0605 - LA VEGA ESTE,07209 - POLITECNICO MANUEL ACEVEDO SERRANO - FE Y ALEGRIA,07209,ADMINISTRACIÓN Y COMERCIO,Comercio y Mercadeo,55
06 - LA VEGA,0605 - LA VEGA ESTE,07209 - POLITECNICO MANUEL ACEVEDO SERRANO - FE Y ALEGRIA,07209,INFORMÁTICA Y COMUNICACIONES,Desarrollo y administración de aplicaciones informáticas,57
06 - LA VEGA,0605 - LA VEGA ESTE,07209 - POLITECNICO MANUEL ACEVEDO SERRANO - FE Y ALEGRIA,07209,ADMINISTRACIÓN Y COMERCIO,Gestión Administrativa y Tributaria,74
06 - LA VEGA,0605 - LA VEGA ESTE,07209 - POLITECNICO MANUEL ACEVEDO SERRANO - FE Y ALEGRIA,07209,ELECTRICIDAD Y ELECTRÓNICA,Instalaciones Eléctricas,43
06 - LA VEGA,0605 - LA VEGA ESTE,07209 - POLITECNICO MANUEL ACEVEDO SERRANO - FE Y ALEGRIA,07209,TURISMO Y HOSTELERÍA,Servicios Gastronómicos,59
06 - LA VEGA,0605 - LA VEGA ESTE,07265 - EXPERIMENTAL UNPHU,07265,ADMINISTRACIÓN Y COMERCIO,Comercio y Mercadeo,59
06 - LA VEGA,0605 - LA VEGA ESTE,07265 - EXPERIMENTAL UNPHU,07265,ADMINISTRACIÓN Y COMERCIO,Gestión Administrativa y Tributaria,59
06 - LA VEGA,0605 - LA VEGA ESTE,07298 - POLITECNICO ARZ. JUAN ANTONIO FLORES SANTANA,07298,ADMINISTRACIÓN Y COMERCIO,Comercio y Mercadeo,41
06 - LA VEGA,0605 - LA VEGA ESTE,07298 - POLITECNICO ARZ. JUAN ANTONIO FLORES SANTANA,07298,ADMINISTRACIÓN Y COMERCIO,Gestión Administrativa y Tributaria,58
06 - LA VEGA,0606 - MOCA,06862 - POLITECNICO PROF. MARIA ALTAGRACIA HOLGUIN MORA,06862,ADMINISTRACIÓN Y COMERCIO,Comercio y Mercadeo,104
06 - LA VEGA,0606 - MOCA,06862 - POLITECNICO PROF. MARIA ALTAGRACIA HOLGUIN MORA,06862,INFORMÁTICA Y COMUNICACIONES,Desarrollo y administración de aplicaciones informáticas,111
06 - LA VEGA,0606 - MOCA,06864 - POLITECNICO EL AVE MARIA,06864,ADMINISTRACIÓN Y COMERCIO,Comercio y Mercadeo,50
06 - LA VEGA,0606 - MOCA,06864 - POLITECNICO EL AVE MARIA,06864,INFORMÁTICA Y COMUNICACIONES,Desarrollo y administración de aplicaciones informáticas,56
06 - LA VEGA,0606 - MOCA,06864 - POLITECNICO EL AVE MARIA,06864,ADMINISTRACIÓN Y COMERCIO,Gestión Administrativa y Tributaria,39
06 - LA VEGA,0606 - MOCA,06864 - POLITECNICO EL AVE MARIA,06864,TURISMO Y HOSTELERÍA,Servicios Turísticos,38
06 - LA VEGA,0606 - MOCA,13370 - POLITECNICO JOSE ANTONIO CASTILLO FERREIRAS,13370,AGRARIA,Agropecuaria,72
06 - LA VEGA,0606 - MOCA,13370 - POLITECNICO JOSE ANTONIO CASTILLO FERREIRAS,13370,ADMINISTRACIÓN Y COMERCIO,Comercio y Mercadeo,66
06 - LA VEGA,0606 - MOCA,13370 - POLITECNICO JOSE ANTONIO CASTILLO FERREIRAS,13370,ADMINISTRACIÓN Y COMERCIO,Gestión Administrativa y Tributaria,63
06 - LA VEGA,0606 - MOCA,14051 - POLITECNICO PROF. ANDRES FRANCISCO LOPEZ CRUZ,14051,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Acondicionamiento Físico y Entrenamiento Deportivo,77
06 - LA VEGA,0606 - MOCA,14051 - POLITECNICO PROF. ANDRES FRANCISCO LOPEZ CRUZ,14051,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD,Atención a la Educación Infantil y Especial,67
06 - LA VEGA,0606 - MOCA,14051 - POLITECNICO PROF. ANDRES FRANCISCO LOPEZ CRUZ,14051,SALUD,Cuidados de Enfermería y Promoción de la Salud,52
06 - LA VEGA,0606 - MOCA,14051 - POLITECNICO PROF. ANDRES FRANCISCO LOPEZ CRUZ,14051,ADMINISTRACIÓN Y COMERCIO,Gestión Administrativa y Tributaria,157
06 - LA VEGA,0606 - MOCA,14051 - POLITECNICO PROF. ANDRES FRANCISCO LOPEZ CRUZ,14051,AUDIOVISUALES Y GRÁFICAS,Multimedia y Gráfica,82
06 - LA VEGA,0606 - MOCA,15276 - POLITECNICO SALESIANO ARQUIDES CALDERON,15276,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Acondicionamiento Físico y Entrenamiento Deportivo,47
06 - LA VEGA,0606 - MOCA,15276 - POLITECNICO SALESIANO ARQUIDES CALDERON,15276,ADMINISTRACIÓN Y COMERCIO,Comercio y Mercadeo,65
06 - LA VEGA,0606 - MOCA,15276 - POLITECNICO SALESIANO ARQUIDES CALDERON,15276,INFORMÁTICA Y COMUNICACIONES,Desarrollo y administración de aplicaciones informáticas,63
06 - LA VEGA,0606 - MOCA,15276 - POLITECNICO SALESIANO ARQUIDES CALDERON,15276,ADMINISTRACIÓN Y COMERCIO,Gestión Administrativa y Tributaria,62
06 - LA VEGA,0606 - MOCA,15276 - POLITECNICO SALESIANO ARQUIDES CALDERON,15276,ADMINISTRACIÓN Y COMERCIO,Logística y Transporte,55
06 - LA VEGA,0606 - MOCA,15276 - POLITECNICO SALESIANO ARQUIDES CALDERON,15276,TURISMO Y HOSTELERÍA,Servicios Turísticos,71
"06 - LA VEGA,0606 - MOCA,""15663 - POLITECNICO MARIA AUXILIADORA, (FMA SALESIANAS)"",15663,ADMINISTRACIÓN Y COMERCIO,Comercio y Mercadeo,53"
"06 - LA VEGA,0606 - MOCA,""15663 - POLITECNICO MARIA AUXILIADORA, (FMA SALESIANAS)"",15663,ADMINISTRACIÓN Y COMERCIO,Gestión Administrativa y Tributaria,58"
06 - LA VEGA,0607 - GASPAR HERNANDEZ,15228 - POLITECNICO PROF. JUAN EMILIO BOSCH GAVIÑO,15228,ADMINISTRACIÓN Y COMERCIO,Comercio y Mercadeo,31
06 - LA VEGA,0607 - GASPAR HERNANDEZ,15228 - POLITECNICO PROF. JUAN EMILIO BOSCH GAVIÑO,15228,INFORMÁTICA Y COMUNICACIONES,Desarrollo y administración de aplicaciones informáticas,87
06 - LA VEGA,0607 - GASPAR HERNANDEZ,15228 - POLITECNICO PROF. JUAN EMILIO BOSCH GAVIÑO,15228,ADMINISTRACIÓN Y COMERCIO,Gestión Administrativa y Tributaria,74
06 - LA VEGA,0607 - GASPAR HERNANDEZ,15228 - POLITECNICO PROF. JUAN EMILIO BOSCH GAVIÑO,15228,TURISMO Y HOSTELERÍA,Servicios Turísticos,36
06 - LA VEGA,0608 - JAMAO AL NORTE,06829 - POLITECNICO GABRIEL ESPINAL RODRIGUEZ,06829,ADMINISTRACIÓN Y COMERCIO,Gestión Administrativa y Tributaria,62
06 - LA VEGA,0608 - JAMAO AL NORTE,06829 - POLITECNICO GABRIEL ESPINAL RODRIGUEZ,06829,TURISMO Y HOSTELERÍA,Servicios Turísticos,17
06 - LA VEGA,0608 - JAMAO AL NORTE,06831 - POLITECNICO PROF. RAFAEL MORALES FERNANDEZ,06831,TURISMO Y HOSTELERÍA,Servicios Turísticos,61
06 - LA VEGA,0609 - SAN VICTOR,06836 - POLITECNICO SAN JUAN BAUTISTA DE LA SALLE,06836,ADMINISTRACIÓN Y COMERCIO,Gestión Administrativa y Tributaria,46
06 - LA VEGA,0609 - SAN VICTOR,06836 - POLITECNICO SAN JUAN BAUTISTA DE LA SALLE,06836,TURISMO Y HOSTELERÍA,Servicios Gastronómicos,43
06 - LA VEGA,0610 - JIMA ABAJO,07256 - POLITECNICO ANA SILVIA JIMENEZ DE CASTRO,07256,AGRARIA,Agropecuaria,49
06 - LA VEGA,0610 - JIMA ABAJO,07256 - POLITECNICO ANA SILVIA JIMENEZ DE CASTRO,07256,ADMINISTRACIÓN Y COMERCIO,Gestión Administrativa y Tributaria,50
06 - LA VEGA,0610 - JIMA ABAJO,07256 - POLITECNICO ANA SILVIA JIMENEZ DE CASTRO,07256,INFORMÁTICA Y COMUNICACIONES,Soporte de Redes y Sistemas Informáticos,72
06 - LA VEGA,0610 - JIMA ABAJO,07257 - POLITECNICO REVERENDO ANDRES AMENGUAL FE Y ALEGRIA,07257,SALUD,Cuidados de Enfermería y Promoción de la Salud,34
06 - LA VEGA,0610 - JIMA ABAJO,07257 - POLITECNICO REVERENDO ANDRES AMENGUAL FE Y ALEGRIA,07257,INFORMÁTICA Y COMUNICACIONES,Desarrollo y administración de aplicaciones informáticas,70
06 - LA VEGA,0610 - JIMA ABAJO,07257 - POLITECNICO REVERENDO ANDRES AMENGUAL FE Y ALEGRIA,07257,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD,Servicios de Integración Social y Comunitarios,40
07 - SAN FRANCISCO DE MACORIS,0702 - SALCEDO,07746 - POLITECNICO NUESTRA SEÑORA DEL SAGRADO CORAZON,07746,INFORMÁTICA Y COMUNICACIONES,Desarrollo y administración de aplicaciones informáticas,78
07 - SAN FRANCISCO DE MACORIS,0702 - SALCEDO,07746 - POLITECNICO NUESTRA SEÑORA DEL SAGRADO CORAZON,07746,ADMINISTRACIÓN Y COMERCIO,Gestión Administrativa y Tributaria,88
07 - SAN FRANCISCO DE MACORIS,0703 - CASTILLO,06626 - POLITECNICO MARIA PAULINO VIUDA PEREZ,06626,INFORMÁTICA Y COMUNICACIONES,Desarrollo y administración de aplicaciones informáticas,69
07 - SAN FRANCISCO DE MACORIS,0703 - CASTILLO,06626 - POLITECNICO MARIA PAULINO VIUDA PEREZ,06626,ADMINISTRACIÓN Y COMERCIO,Gestión Administrativa y Tributaria,148
07 - SAN FRANCISCO DE MACORIS,0703 - CASTILLO,06626 - POLITECNICO MARIA PAULINO VIUDA PEREZ,06626,ADMINISTRACIÓN Y COMERCIO,Logística y Transporte,77
07 - SAN FRANCISCO DE MACORIS,0703 - CASTILLO,06626 - POLITECNICO MARIA PAULINO VIUDA PEREZ,06626,INFORMÁTICA Y COMUNICACIONES,Soporte de Redes y Sistemas Informáticos,57
07 - SAN FRANCISCO DE MACORIS,0703 - CASTILLO,06641 - POLITECNICO AGUSTIN BONILLA,06641,ADMINISTRACIÓN Y COMERCIO,Comercio y Mercadeo,62
07 - SAN FRANCISCO DE MACORIS,0703 - CASTILLO,06641 - POLITECNICO AGUSTIN BONILLA,06641,SALUD,Cuidados de Enfermería y Promoción de la Salud,57
07 - SAN FRANCISCO DE MACORIS,0703 - CASTILLO,06641 - POLITECNICO AGUSTIN BONILLA,06641,INFORMÁTICA Y COMUNICACIONES,Desarrollo y administración de aplicaciones informáticas,54
07 - SAN FRANCISCO DE MACORIS,0703 - CASTILLO,06641 - POLITECNICO AGUSTIN BONILLA,06641,ADMINISTRACIÓN Y COMERCIO,Gestión Administrativa y Tributaria,53
07 - SAN FRANCISCO DE MACORIS,0703 - CASTILLO,06641 - POLITECNICO AGUSTIN BONILLA,06641,INFORMÁTICA Y COMUNICACIONES,Soporte de Redes y Sistemas Informáticos,52
07 - SAN FRANCISCO DE MACORIS,0704 - VILLA RIVA,06646 - POLITECNICO JUAN PABLO DUARTE,06646,SALUD,Cuidados de Enfermería y Promoción de la Salud,28
07 - SAN FRANCISCO DE MACORIS,0704 - VILLA RIVA,06646 - POLITECNICO JUAN PABLO DUARTE,06646,INFORMÁTICA Y COMUNICACIONES,Desarrollo y administración de aplicaciones informáticas,87
07 - SAN FRANCISCO DE MACORIS,0704 - VILLA RIVA,06646 - POLITECNICO JUAN PABLO DUARTE,06646,ADMINISTRACIÓN Y COMERCIO,Gestión Administrativa y Tributaria,106
07 - SAN FRANCISCO DE MACORIS,0704 - VILLA RIVA,06657 - POLITECNICO FRANCISCO ADALBERTO GARCIA PEREZ,06657,ADMINISTRACIÓN Y COMERCIO,Gestión Administrativa y Tributaria,47
07 - SAN FRANCISCO DE MACORIS,0704 - VILLA RIVA,06657 - POLITECNICO FRANCISCO ADALBERTO GARCIA PEREZ,06657,INFORMÁTICA Y COMUNICACIONES,Soporte de Redes y Sistemas Informáticos,55
07 - SAN FRANCISCO DE MACORIS,0704 - VILLA RIVA,11187 - POLITECNICO PROF. JUAN EMILIO BOSCH GAVIÑO,11187,INFORMÁTICA Y COMUNICACIONES,Desarrollo y administración de aplicaciones informáticas,52
07 - SAN FRANCISCO DE MACORIS,0704 - VILLA RIVA,11187 - POLITECNICO PROF. JUAN EMILIO BOSCH GAVIÑO,11187,ELECTRICIDAD Y ELECTRÓNICA,Instalaciones Eléctricas,49
07 - SAN FRANCISCO DE MACORIS,0704 - VILLA RIVA,11187 - POLITECNICO PROF. JUAN EMILIO BOSCH GAVIÑO,11187,ELECTRICIDAD Y ELECTRÓNICA,Sistemas de Telecomunicaciones.,52
07 - SAN FRANCISCO DE MACORIS,0705 - SAN FRANCISCO DE MACORIS SUR-E,06583 - POLITECNICO MANUEL MARIA CASTILLO,06583,INFORMÁTICA Y COMUNICACIONES,Desarrollo y administración de aplicaciones informáticas,63
07 - SAN FRANCISCO DE MACORIS,0705 - SAN FRANCISCO DE MACORIS SUR-E,06583 - POLITECNICO MANUEL MARIA CASTILLO,06583,ADMINISTRACIÓN Y COMERCIO,Gestión Administrativa y Tributaria,59
07 - SAN FRANCISCO DE MACORIS,0705 - SAN FRANCISCO DE MACORIS SUR-E,06617 - POLITECNICO PEDRO FRANCISCO BONO,06617,ADMINISTRACIÓN Y COMERCIO,Comercio y Mercadeo,73
07 - SAN FRANCISCO DE MACORIS,0705 - SAN FRANCISCO DE MACORIS SUR-E,06617 - POLITECNICO PEDRO FRANCISCO BONO,06617,ADMINISTRACIÓN Y COMERCIO,Gestión Administrativa y Tributaria,61
07 - SAN FRANCISCO DE MACORIS,0706 - SAN FRANCISCO DE MACORIS NOR-O,06553 - POLITECNICO VICENTE AQUILINO SANTOS,06553,INFORMÁTICA Y COMUNICACIONES,Desarrollo y administración de aplicaciones informáticas,101
"07 - SAN FRANCISCO DE MACORIS,0706 - SAN FRANCISCO DE MACORIS NOR-O,06553 - POLITECNICO VICENTE AQUILINO SANTOS,06553,""FABRICACIÓN, INSTALACIÓN Y MANTENIMIENTO"",Electromecánica de Vehículos,52"
07 - SAN FRANCISCO DE MACORIS,0706 - SAN FRANCISCO DE MACORIS NOR-O,06553 - POLITECNICO VICENTE AQUILINO SANTOS,06553,ADMINISTRACIÓN Y COMERCIO,Gestión Administrativa y Tributaria,176
07 - SAN FRANCISCO DE MACORIS,0706 - SAN FRANCISCO DE MACORIS NOR-O,06553 - POLITECNICO VICENTE AQUILINO SANTOS,06553,ELECTRICIDAD Y ELECTRÓNICA,Instalaciones Eléctricas,61
07 - SAN FRANCISCO DE MACORIS,0706 - SAN FRANCISCO DE MACORIS NOR-O,06553 - POLITECNICO VICENTE AQUILINO SANTOS,06553,MADERA Y MUEBLE,Muebles y Estructuras de Madera,49
07 - SAN FRANCISCO DE MACORIS,0706 - SAN FRANCISCO DE MACORIS NOR-O,06553 - POLITECNICO VICENTE AQUILINO SANTOS,06553,ELECTRICIDAD Y ELECTRÓNICA,Refrigeración y Acondicionamiento de Aire,46
